"questionText","trlLevel","technologyType","category","TrlQuestions (Item)","ID","Created Date","Updated Date","Owner","toolTip"
"Initial formulation created",2,"Animal Feed, Feed Ingredients and Animal Nutrition","Technology Status","/trlquestions/animal-feed%2C-feed-ingredients-and-animal-nutrition","0001d873-b2cf-4abe-ab31-989d268ff7ef",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Secure Letter of Intent for Licensing",7,"New Plant Variety (Gene-Edited and GM)","Industry Adoption Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","005332b8-ce21-4709-bd69-e954c8bc1f9a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Potential end-users and target markets identified",1,"Animal Biotechnology","Market and Commercialization Status","/trlquestions/animal-biotechnology","00803a0d-6f30-4488-899c-f69cac020267",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Identified Potential industry Partner for Industry Testing",4,"Food, Food Ingredients and Beverages","Industry Adoption Status","/trlquestions/food%2C-food-ingredients-and-beverages","00ee4a36-2342-400d-a52f-176db9a8eaad",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Stable and consistent breeding achieved at industry scale",8,"New Animal Breed (Aquatic and Terrestrial)","Technology Status","/trlquestions/new-animal-breed-(aquatic-and-terrestrial)","0256be65-c7b3-4aa7-a4aa-8505c7b3aa9a",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Prototype tested for basic operational capability",3,"Agri-Aqua Machinery and Facility","Technology Status","/trlquestions/agri-aqua-machinery-and-facility","02c04555-d1ab-4f97-8203-63bb55f96690",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Initial prototype of device or diagnostic kit created",2,"Agri-Aqua Device and Diagnostic Kits","Technology Status","/trlquestions/agri-aqua-device-and-diagnostic-kits","03a1c4fe-83bd-4d90-860a-9e931da42573",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Technology Licensing Terms Undergoing Negotiation",7,"Fertilizer and Pesticide (including Organic and Bio-based Products)","Industry Adoption Status","/trlquestions/fertilizer-and-pesticide-(including-organic-and-bio-based-products)","044c1c7d-e6ce-4c0b-921b-28815b56a486",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"IP Valuation Report Prepared",6,"Food, Food Ingredients and Beverages","Market and Commercialization Status","/trlquestions/food%2C-food-ingredients-and-beverages","045c3d1b-88ef-43da-9201-497f08f8452e",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"Applied for Regulatory Status Confirmation (RSC) to Department of Agriculture-Bureau of Plant Industry (DA-BPI)",5,"New Plant Variety (Gene-Edited and GM)","Regulatory Compliance Status","/trlquestions/new-plant-variety-(gene-edited-and-gm)","0479b4e3-8b91-4d5c-8603-dae87ac6ac19",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
"IP Valuation Report Prepared",6,"ICT (Apps and System involving IoT)","Market and Commercialization Status","/trlquestions/ict-(apps-and-system-involving-iot)","04db088f-513a-402a-9d0f-61234fe6fe96",2026-02-03T08:26:38Z,2026-02-03T08:26:38Z,"e2b51b16-b55b-418d-8ce7-4d04b1ec0a1d",
